split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.12,1,Blue,top,Ssumday,100 Thieves,Renekton,Ornn,Graves,Ezreal,Twisted Fate,LeBlanc,1918,1,6,0,5,13,1,1,0,0,0,0,0,0,0,0.4067,0.438,15860,496.1418,0.254554,691.2513,828.3629,15,0.4692,10,0.3128,5,40,1.2513,15224,11036,345.2346,0.285873,13555,298,288,10,1,8,9.3222,4075,4783,87,2718,4130,64,1357,653,23,5953,6935,125,4458,7106,122,1495,-171,3
Summer,0,1,10.12,2,Blue,jng,Meteos,100 Thieves,Trundle,Ornn,Graves,Ezreal,Twisted Fate,LeBlanc,1918,1,0,0,13,13,1,0,0,0,0,1,0,1,0,0.4067,0.438,6105,190.9802,0.0979857,791.293,1006.5798,8,0.2503,16,0.5005,8,53,1.658,10674,6486,202.8989,0.168008,9050,175,35,140,72,26,5.4745,3484,3166,53,2920,2972,61,564,194,-8,5050,5327,93,4301,4830,84,749,497,9
Summer,0,1,10.12,3,Blue,mid,Ryoma,100 Thieves,Orianna,Ornn,Graves,Ezreal,Twisted Fate,LeBlanc,1918,1,5,1,7,13,1,0,0,0,0,1,1,0,0,0.4067,0.438,19966,624.5881,0.320456,308.9781,299.6872,12,0.3754,5,0.1564,4,41,1.2826,12991,8803,275.3806,0.228029,13150,267,248,19,12,1,8.3525,3773,5045,90,3434,4814,87,339,231,3,5475,7606,143,5435,7884,139,40,-278,4
Summer,0,1,10.12,4,Blue,bot,Cody Sun,100 Thieves,Xayah,Ornn,Graves,Ezreal,Twisted Fate,LeBlanc,1918,1,2,0,9,13,1,0,0,0,0,0,0,0,0,0.4067,0.438,15273,477.7789,0.245133,346.1105,198.3942,12,0.3754,14,0.438,5,43,1.3452,13053,8865,277.3201,0.229635,11325,301,250,51,32,10,9.4161,3353,3205,91,3212,3430,85,141,-225,6,5023,5243,142,4729,5228,129,294,15,13
Summer,0,1,10.12,5,Blue,sup,Stunt,100 Thieves,Rakan,Ornn,Graves,Ezreal,Twisted Fate,LeBlanc,1918,1,0,0,12,13,1,0,0,0,0,0,0,0,0,0.4067,0.438,5101,159.5725,0.0818714,273.6601,710.3962,43,1.3452,12,0.3754,12,98,3.0657,7603,3415,106.83,0.0884554,6200,39,39,0,0,0,1.22,2087,2544,13,2005,2072,13,82,472,0,3205,3997,25,2844,2940,19,361,1057,6
Spring,0,1,10.03,6,Red,top,Ssumday,100 Thieves,Aatrox,Rumble,Yuumi,Riven,Lee Sin,Olaf,1823,0,1,1,0,1,8,0,0,0,0,0,0,0,0,0.0329,0.2962,6107,200.9984,0.219993,525.8804,427.0104,12,0.395,5,0.1646,3,30,0.9874,10295,6300,207.3505,0.269789,9875,271,263,8,4,0,8.9194,3229,4754,91,2909,3990,58,320,764,33,4643,7045,132,4531,6732,90,112,313,42
Spring,0,1,10.03,7,Red,jng,Meteos,100 Thieves,Sejuani,Rumble,Yuumi,Riven,Lee Sin,Olaf,1823,0,0,2,0,1,8,0,0,0,0,0,0,0,0,0.0329,0.2962,2741,90.2139,0.0987392,922.9073,636.6319,7,0.2304,11,0.362,7,37,1.2178,7432,3437,113.1212,0.147194,7125,136,17,119,94,8,4.4761,2900,2831,58,3738,3485,59,-838,-654,-1,4079,4116,81,5060,4952,90,-981,-836,-9
Spring,0,1,10.03,8,Red,mid,Ryoma,100 Thieves,Zoe,Rumble,Yuumi,Riven,Lee Sin,Olaf,1823,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0.0329,0.2962,9703,319.3527,0.349532,382.0187,189.0181,13,0.4279,6,0.1975,9,25,0.8228,9591,5596,184.1799,0.239643,9630,255,243,12,12,0,8.3928,2949,4422,80,3200,4373,83,-251,49,-3,4587,7096,127,5229,7430,144,-642,-334,-17
Spring,0,1,10.03,9,Red,bot,Cody Sun,100 Thieves,Xayah,Rumble,Yuumi,Riven,Lee Sin,Olaf,1823,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0.0329,0.2962,6607,217.4547,0.238004,217.2902,145.9353,11,0.362,2,0.0658,5,17,0.5595,10411,6416,211.1684,0.274756,12875,274,245,29,24,0,9.0181,3238,3726,86,3331,3684,87,-93,42,-1,4848,5363,135,5320,5876,142,-472,-513,-7
Spring,0,1,10.03,10,Red,sup,Stunt,100 Thieves,Rakan,Rumble,Yuumi,Riven,Lee Sin,Olaf,1823,0,0,3,1,1,8,0,0,0,0,0,0,0,1,0.0329,0.2962,2602,85.6391,0.093732,335.3812,425.8914,48,1.5798,8,0.2633,11,76,2.5014,5597,1602,52.7263,0.0686187,5325,31,31,0,0,0,1.0203,1997,1979,13,2153,2342,12,-156,-363,1,2942,3440,20,3541,3714,23,-599,-274,-3
