split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.12,6,Red,top,Licorice,Cloud9,Volibear,Varus,Graves,Syndra,Nidalee,Karma,2020,1,7,2,5,20,8,0,0,0,0,0,0,0,0,0.5941,0.8317,19256,571.9604,0.311939,743.2277,906.3861,10,0.297,13,0.3861,7,43,1.2772,15009,10613,315.2376,0.239001,13938,260,240,20,0,9,7.7228,3042,4344,78,2873,3805,64,169,539,14,5886,7176,129,4429,6213,107,1457,963,22
Summer,0,1,10.12,7,Red,jng,Blaber,Cloud9,Trundle,Varus,Graves,Syndra,Nidalee,Karma,2020,1,4,3,12,20,8,1,0,0,0,1,1,0,0,0.5941,0.8317,6443,191.3762,0.104374,1088.8812,947.0495,11,0.3267,15,0.4455,11,45,1.3366,12663,8267,245.5545,0.186168,10875,197,42,155,95,15,5.8515,3317,3044,64,3014,3230,59,303,-186,5,4947,5129,97,4783,5396,89,164,-267,8
Summer,0,1,10.12,8,Red,mid,Nisqy,Cloud9,Galio,Varus,Graves,Syndra,Nidalee,Karma,2020,1,2,1,13,20,8,0,0,0,0,0,0,0,0,0.5941,0.8317,11033,327.7129,0.17873,622.7822,869.495,17,0.505,4,0.1188,7,35,1.0396,13154,8758,260.1386,0.197225,11750,279,259,20,20,0,8.2871,3043,4131,77,4054,4906,94,-1011,-775,-17,5336,7143,124,5981,7575,143,-645,-432,-19
Summer,0,1,10.12,9,Red,bot,Zven,Cloud9,Aphelios,Varus,Graves,Syndra,Nidalee,Karma,2020,1,7,2,9,20,8,1,0,0,0,1,0,1,0,0.5941,0.8317,19173,569.495,0.310595,271.9604,539.3762,10,0.297,11,0.3267,2,34,1.0099,17001,12605,374.4059,0.283862,15100,338,314,24,16,4,10.0396,3518,3108,86,3945,3186,86,-427,-78,0,6510,5437,137,6355,5685,134,155,-248,3
Summer,0,1,10.12,10,Red,sup,Vulcan,Cloud9,Braum,Varus,Graves,Syndra,Nidalee,Karma,2020,1,0,0,17,20,8,0,0,0,0,1,0,1,0,0.5941,0.8317,5825,173.0198,0.0943625,387.5941,516.9208,56,1.6634,5,0.1485,19,80,2.3762,8559,4163,123.6535,0.0937438,7800,27,27,0,0,0,0.802,2173,2487,12,2480,2928,15,-307,-441,-3,3550,4445,20,3958,4469,28,-408,-24,-8
Summer,0,1,10.11,1,Blue,top,Licorice,Cloud9,Jayce,Trundle,Graves,Kalista,Azir,Nidalee,1860,1,6,3,4,17,11,2,0,0,0,0,0,0,0,0.5484,0.9032,23641,762.6129,0.358268,400.129,232,10,0.3226,7,0.2258,6,29,0.9355,15824,11754,379.1613,0.26009,14135,279,259,20,1,13,9,3491,4222,80,4056,4831,80,-565,-609,0,6902,7311,135,6099,7084,116,803,227,19
Summer,0,1,10.11,2,Blue,jng,Blaber,Cloud9,Olaf,Trundle,Graves,Kalista,Azir,Nidalee,1860,1,5,3,7,17,11,0,0,0,0,0,0,0,1,0.5484,0.9032,11798,380.5806,0.178793,943.129,804.129,6,0.1935,14,0.4516,5,42,1.3548,13523,9453,304.9355,0.209174,12500,234,43,191,118,12,7.5484,3410,4101,81,3149,3307,52,261,794,29,5644,6289,115,4672,5291,80,972,998,35
Summer,0,1,10.11,3,Blue,mid,Nisqy,Cloud9,LeBlanc,Trundle,Graves,Kalista,Azir,Nidalee,1860,1,2,2,11,17,11,0,0,0,0,0,0,0,0,0.5484,0.9032,12820,413.5484,0.194281,523.7742,232.7419,10,0.3226,10,0.3226,5,44,1.4194,12451,8381,270.3548,0.185453,11175,232,203,29,16,9,7.4839,3244,4284,81,3132,4436,77,112,-152,4,5852,7505,123,5428,7262,122,424,243,1
Summer,0,1,10.11,4,Blue,bot,Zven,Cloud9,Aphelios,Trundle,Graves,Kalista,Azir,Nidalee,1860,1,3,2,6,17,11,0,0,0,0,0,0,0,0,0.5484,0.9032,12863,414.9355,0.194932,244.129,347.871,10,0.3226,12,0.3871,2,39,1.2581,15160,11090,357.7419,0.245397,14550,308,269,39,21,4,9.9355,3266,3058,85,3810,3462,80,-544,-404,5,6246,5515,133,5745,5984,129,501,-469,4
Summer,0,1,10.11,5,Blue,sup,Vulcan,Cloud9,Nautilus,Trundle,Graves,Kalista,Azir,Nidalee,1860,1,1,1,8,17,11,0,0,0,0,0,0,0,0,0.5484,0.9032,4865,156.9355,0.0737266,341.3871,670.1613,45,1.4516,6,0.1935,17,78,2.5161,8584,4514,145.6129,0.0998849,8150,28,28,0,0,0,0.9032,2096,2632,12,2209,2134,14,-113,498,-2,3925,4521,23,3357,3376,21,568,1145,2
Spring,0,1,10.04,1,Blue,top,Licorice,Cloud9,Sett,Olaf,Yuumi,Riven,Corki,Qiyana,2118,1,0,1,8,14,7,0,0,0,0,0,0,0,1,0.3966,0.5666,10084,285.6657,0.136125,719.1785,1023.7394,15,0.4249,9,0.255,3,52,1.4731,15168,10572,299.4901,0.248819,13208,341,311,30,3,9,9.6601,3482,5050,93,3166,4551,74,316,499,19,5446,8046,153,5127,7637,134,319,409,19
