split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.12,1,Blue,top,Ruin,Counter Logic Gaming,Aatrox,Yuumi,Olaf,Thresh,Akali,LeBlanc,2111,1,1,2,7,18,7,0,0,0,0,0,0,0,0,0.5116,0.7106,14787,420.2842,0.188319,782.3022,872.828,14,0.3979,6,0.1705,3,35,0.9948,12446,7864,223.5149,0.17421,11555,245,225,20,11,4,6.9635,3053,4945,76,3214,4944,84,-161,1,-8,4555,7817,124,4846,7511,127,-291,306,-3
Summer,0,1,10.12,2,Blue,jng,Wiggily,Counter Logic Gaming,Trundle,Yuumi,Olaf,Thresh,Akali,LeBlanc,2111,1,3,0,9,18,7,0,0,0,0,1,0,1,0,0.5116,0.7106,6497,184.6613,0.0827422,843.9223,852.7617,13,0.3695,24,0.6821,13,67,1.9043,11932,7350,208.9057,0.162823,10875,180,39,141,88,5,5.1161,3012,3125,62,3038,3247,67,-26,-122,-5,4484,4996,90,4843,5301,103,-359,-305,-13
Summer,0,1,10.12,3,Blue,mid,Pobelter,Counter Logic Gaming,Orianna,Yuumi,Olaf,Thresh,Akali,LeBlanc,2111,1,7,2,8,18,7,2,0,0,0,1,0,1,0,0.5116,0.7106,24846,706.1866,0.316425,347.7499,373.1596,15,0.4263,3,0.0853,6,31,0.8811,17492,12910,366.9351,0.285993,16150,329,293,36,24,4,9.351,3515,4851,100,3508,5100,100,7,-249,0,5414,7952,159,5809,8510,172,-395,-558,-13
Summer,0,1,10.12,4,Blue,bot,Stixxay,Counter Logic Gaming,Ezreal,Yuumi,Olaf,Thresh,Akali,LeBlanc,2111,1,7,0,10,18,7,1,0,0,0,1,1,0,0,0.5116,0.7106,27758,788.9531,0.353511,328.4225,346.7551,12,0.3411,6,0.1705,3,28,0.7958,17746,13164,374.1544,0.29162,16025,336,312,24,16,4,9.55,3419,3363,93,3610,3834,105,-191,-471,-12,5784,5733,144,5687,5661,152,97,72,-8
Summer,0,1,10.12,5,Blue,sup,Smoothie,Counter Logic Gaming,Rakan,Yuumi,Olaf,Thresh,Akali,LeBlanc,2111,1,0,3,15,18,7,0,0,0,0,1,0,1,0,0.5116,0.7106,4633,131.6817,0.0590033,350.5353,555.9166,46,1.3074,10,0.2842,13,87,2.4728,8435,3853,109.5121,0.0853543,7575,34,34,0,0,0,0.9664,1963,2455,13,2061,2626,13,-98,-171,0,3019,3668,21,3432,3592,19,-413,76,2
Summer,0,1,10.13,6,Red,top,Deus,Counter Logic Gaming,Ornn,Aphelios,Twisted Fate,Trundle,Olaf,Thresh,2283,0,2,2,3,5,10,1,0,0,0,0,0,0,0,0.1314,0.3942,9643,253.4297,0.165593,885.7819,1594.7438,15,0.3942,3,0.0788,4,26,0.6833,13275,8342,219.2378,0.220274,12800,298,293,5,2,0,7.8318,3013,4945,72,3548,5098,79,-535,-153,-7,4469,7317,113,6254,8100,138,-1785,-783,-25
Summer,0,1,10.13,7,Red,jng,Wiggily,Counter Logic Gaming,Sett,Aphelios,Twisted Fate,Trundle,Olaf,Thresh,2283,0,0,2,4,5,10,0,0,0,0,0,0,0,0,0.1314,0.3942,4158,109.2773,0.0714028,775.611,875.5585,17,0.4468,20,0.5256,17,54,1.4192,10282,5349,140.5782,0.141243,10425,199,37,162,119,9,5.23,2989,3017,58,3007,3196,60,-18,-179,-2,4495,4886,93,4683,5096,92,-188,-210,1
Summer,0,1,10.13,8,Red,mid,Pobelter,Counter Logic Gaming,Syndra,Aphelios,Twisted Fate,Trundle,Olaf,Thresh,2283,0,2,4,2,5,10,0,0,0,0,0,0,0,1,0.1314,0.3942,13559,356.3469,0.23284,394.2181,157.7135,15,0.3942,2,0.0526,5,23,0.6045,16044,11111,292.0105,0.29339,16045,387,375,12,12,0,10.1708,3407,4860,95,3546,5162,96,-139,-302,-1,4963,7093,143,5553,7943,149,-590,-850,-6
Summer,0,1,10.13,9,Red,bot,Stixxay,Counter Logic Gaming,Ezreal,Aphelios,Twisted Fate,Trundle,Olaf,Thresh,2283,0,1,1,3,5,10,0,0,0,0,0,0,0,0,0.1314,0.3942,26658,700.6045,0.457782,509.908,580.9724,18,0.4731,15,0.3942,9,50,1.3141,15797,10864,285.5191,0.286868,15525,413,373,40,36,4,10.8541,3658,3282,100,3107,2822,80,551,460,20,5318,5236,146,5880,5200,139,-562,36,7
Summer,0,1,10.13,10,Red,sup,Smoothie,Counter Logic Gaming,Karma,Aphelios,Twisted Fate,Trundle,Olaf,Thresh,2283,0,0,1,5,5,10,0,0,0,0,0,0,0,0,0.1314,0.3942,4215,110.7753,0.0723816,254.1393,91.4586,52,1.3666,11,0.2891,17,77,2.0237,7138,2205,57.9501,0.0582255,6175,24,24,0,0,0,0.6307,2153,2989,2,2084,2942,12,69,47,-10,3054,4214,5,3427,4011,20,-373,203,-15
Spring,0,1,10.05,6,Red,top,Ruin,Counter Logic Gaming,Irelia,Senna,Kalista,Sett,Varus,Taliyah,1924,0,2,5,5,7,22,1,0,0,0,0,0,0,0,0.2183,0.9044,10422,325.0104,0.197738,855.842,551.9127,12,0.3742,2,0.0624,2,25,0.7796,10442,6241,194.6258,0.216302,10225,226,224,2,1,0,7.0478,2930,4010,71,3155,4355,76,-225,-345,-5,5351,7100,122,5452,6930,122,-101,170,0
Spring,0,1,10.05,7,Red,jng,Wiggily,Counter Logic Gaming,Karthus,Senna,Kalista,Sett,Varus,Taliyah,1924,0,2,6,1,7,22,0,0,0,0,0,0,0,1,0.2183,0.9044,11079,345.499,0.210204,736.0291,249.8545,15,0.4678,10,0.3119,1,44,1.3721,10279,6078,189.5426,0.210653,10225,217,54,163,130,8,6.7672,3429,4167,79,3496,3639,61,-67,528,18,5432,6994,136,5049,5267,91,383,1727,45
Spring,0,1,10.05,8,Red,mid,Pobelter,Counter Logic Gaming,Ornn,Senna,Kalista,Sett,Varus,Taliyah,1924,0,1,2,2,7,22,0,0,0,0,0,0,0,0,0.2183,0.9044,12002,374.2827,0.227716,813.8358,877.6403,16,0.499,7,0.2183,6,34,1.0603,9454,5253,163.815,0.182062,8900,217,213,4,4,0,6.7672,3260,4595,82,4013,4729,83,-753,-134,-1,4898,7355,127,5950,7863,135,-1052,-508,-8
Spring,0,1,10.05,9,Red,bot,Stixxay,Counter Logic Gaming,Miss Fortune,Senna,Kalista,Sett,Varus,Taliyah,1924,0,2,4,3,7,22,1,0,0,0,0,0,0,0,0.2183,0.9044,15333,478.1601,0.290916,428.0457,277.9834,12,0.3742,11,0.343,5,33,1.0291,13215,9014,281.1019,0.312403,12175,318,310,8,8,0,9.9168,3447,3371,98,3413,3232,93,34,139,5,5394,6203,155,5645,6204,163,-251,-1,-8
