split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.12,6,Red,top,V1per,Dignitas,Volibear,Varus,Syndra,Aphelios,LeBlanc,Azir,1966,0,0,3,2,5,11,0,0,0,0,1,0,1,0,0.1526,0.4883,1,0,3971,121.1902,0.0925231,528.9217,532.1872,18,0.5493,3,0.0916,7,32,0.9766,10234,5948,181.5259,0.185712,9958,231,224,7,1,0,7.0498,3028,4506,68,3438,5000,87,-410,-494,-19,4625,7249,118,5718,7152,131,-1093,97,-13
Summer,0,1,10.12,7,Red,jng,Akaadian,Dignitas,Nidalee,Varus,Syndra,Aphelios,LeBlanc,Azir,1966,0,0,3,4,5,11,0,0,0,0,1,0,1,0,0.1526,0.4883,0,0,10710,326.8566,0.24954,947.0295,429.5524,35,1.0682,20,0.6104,12,80,2.4415,9942,5656,172.6144,0.176595,9450,218,40,178,131,15,6.6531,3063,3509,61,3222,3222,50,-159,287,11,4697,5808,104,5307,5154,87,-610,654,17
Summer,0,1,10.12,8,Red,mid,Froggen,Dignitas,Twisted Fate,Varus,Syndra,Aphelios,LeBlanc,Azir,1966,0,2,2,1,5,11,0,0,0,0,1,1,0,0,0.1526,0.4883,0,2,9343,285.1373,0.217689,564.4456,378.7996,13,0.3967,1,0.0305,3,16,0.4883,13539,9253,282.3906,0.288907,13350,281,268,13,12,0,8.5758,4071,4565,89,3662,4859,85,409,-294,4,6235,7139,138,5549,7656,145,686,-517,-7
Summer,0,1,10.12,9,Red,bot,Johnsun,Dignitas,Ashe,Varus,Syndra,Aphelios,LeBlanc,Azir,1966,0,2,2,1,5,11,0,0,0,0,0,0,0,0,0.1526,0.4883,0,1,15212,464.2523,0.354435,355.7884,166.3886,14,0.4273,6,0.1831,4,38,1.1597,12766,8480,258.7996,0.264771,11900,297,289,8,8,0,9.0641,3380,3151,90,3170,3141,83,210,10,7,5730,5488,139,4770,5484,125,960,4,14
Summer,0,1,10.12,10,Red,sup,aphromoo,Dignitas,Thresh,Varus,Syndra,Aphelios,LeBlanc,Azir,1966,0,1,1,3,5,11,0,0,0,0,0,0,0,0,0.1526,0.4883,0,0,3683,112.4008,0.0858128,278.4842,261.119,40,1.2208,9,0.2747,13,63,1.9227,6977,2691,82.1261,0.0840159,6825,30,30,0,0,0,0.9156,2452,2929,17,1963,2314,13,489,615,4,3750,3937,23,2964,3238,19,786,699,4
Spring,0,1,10.05,6,Red,top,Huni,Dignitas,Fiora,Senna,Sett,Ornn,LeBlanc,Olaf,1682,0,1,2,2,7,20,0,0,0,0,0,0,0,0,0.2497,0.9631,0,1,8669,309.239,0.223474,491.6647,660.6421,13,0.4637,5,0.1784,4,30,1.0702,9477,5770,205.8264,0.251898,9000,227,223,4,4,0,8.0975,3178,4433,76,3158,4414,76,20,19,0,4553,6705,113,5367,7738,137,-814,-1033,-24
Spring,0,1,10.05,7,Red,jng,Akaadian,Dignitas,Gragas,Senna,Sett,Ornn,LeBlanc,Olaf,1682,0,4,3,2,7,20,0,0,0,0,0,0,0,0,0.2497,0.9631,0,1,10656,380.1189,0.274696,785.3864,586.8014,14,0.4994,0,0,10,18,0.6421,8250,4543,162.0571,0.198332,8050,127,12,115,97,0,4.5303,3389,3148,52,2964,3354,58,425,-206,-6,4762,4992,81,4578,4979,84,184,13,-3
Spring,0,1,10.05,8,Red,mid,Froggen,Dignitas,Qiyana,Senna,Sett,Ornn,LeBlanc,Olaf,1682,0,1,6,2,7,20,0,0,0,0,0,0,0,1,0.2497,0.9631,0,0,6553,233.7574,0.168927,465.5886,232.7586,28,0.9988,17,0.6064,6,61,2.176,8489,4782,170.5826,0.208766,7950,190,187,3,1,0,6.7776,3005,4242,71,4024,5254,90,-1019,-1012,-19,4579,6677,116,6162,8157,153,-1583,-1480,-37
Spring,0,1,10.05,9,Red,bot,Johnsun,Dignitas,Syndra,Senna,Sett,Ornn,LeBlanc,Olaf,1682,0,1,4,3,7,20,0,0,0,0,0,0,0,0,0.2497,0.9631,0,1,10238,365.2081,0.26392,397.063,188.2402,8,0.2854,6,0.214,4,33,1.1772,9570,5863,209.1439,0.255958,8925,239,235,4,0,0,8.5256,3086,3227,76,3416,3359,67,-330,-132,9,5001,5944,136,5045,5054,113,-44,890,23
Spring,0,1,10.05,10,Red,sup,aphromoo,Dignitas,Nautilus,Senna,Sett,Ornn,LeBlanc,Olaf,1682,0,0,5,5,7,20,0,0,0,0,0,0,0,0,0.2497,0.9631,0,0,2676,95.4578,0.0689833,452.2473,719.7503,25,0.8918,9,0.321,10,47,1.6766,5655,1948,69.4887,0.0850462,5100,31,31,0,0,0,1.1058,2110,2233,10,2280,2478,11,-170,-245,-1,3064,3523,17,3312,3867,21,-248,-344,-4
Summer,0,1,10.12,1,Blue,top,Lourlo,Dignitas,Ornn,Syndra,Kalista,Trundle,Aatrox,Gangplank,2776,0,2,0,3,9,10,0,0,0,0,0,0,0,0,0.1945,0.4107,0,2,11311,244.4741,0.20315,707.1182,1331.1744,21,0.4539,7,0.1513,4,42,0.9078,17727,11788,254.7839,0.238159,16900,419,404,15,7,0,9.0562,3390,4602,78,3990,4759,85,-600,-157,-7,5094,7290,130,5948,7767,137,-854,-477,-7
Summer,0,1,10.12,2,Blue,jng,Akaadian,Dignitas,Olaf,Syndra,Kalista,Trundle,Aatrox,Gangplank,2776,0,1,5,1,9,10,0,0,0,0,0,0,0,0,0.1945,0.4107,0,0,13342,288.3718,0.239628,795.2161,783.0692,14,0.3026,18,0.389,14,65,1.4049,13676,7737,167.2262,0.156317,12375,268,89,179,134,3,5.7925,3131,3620,71,3131,3182,56,0,438,15,5021,5527,106,5337,5524,94,-316,3,12
