split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.12,1,Blue,top,Solo,FlyQuest,Ornn,Kalista,Yuumi,Graves,Kai'Sa,Senna,1966,1,0,2,11,11,5,0,0,0,0,0,0,0,1,0.3357,0.4883,8740,266.7345,0.156777,606.0122,1004.9542,11,0.3357,6,0.1831,1,24,0.7325,12929,8643,263.7742,0.227376,12375,261,257,4,1,0,7.9654,3438,5000,87,3028,4506,68,410,494,19,5718,7152,131,4625,7249,118,1093,-97,13
Summer,0,1,10.12,2,Blue,jng,Santorin,FlyQuest,Trundle,Kalista,Yuumi,Graves,Kai'Sa,Senna,1966,1,3,0,8,11,5,0,0,0,0,0,0,0,0,0.3357,0.4883,5137,156.7752,0.0921468,976.4496,966.9888,7,0.2136,25,0.763,7,64,1.9532,11817,7531,229.8372,0.198122,10625,188,32,156,83,16,5.7375,3222,3222,50,3063,3509,61,159,-287,-11,5307,5154,87,4697,5808,104,610,-654,-17
Summer,0,1,10.12,3,Blue,mid,PowerOfEvil,FlyQuest,Orianna,Kalista,Yuumi,Graves,Kai'Sa,Senna,1966,1,6,0,5,11,5,2,0,0,0,0,0,0,0,0.3357,0.4883,20446,623.9878,0.366758,217.3245,245.7681,16,0.4883,6,0.1831,6,34,1.0376,14880,10594,323.3164,0.278704,12035,309,281,28,24,4,9.4303,3662,4859,85,4071,4565,89,-409,294,-4,5549,7656,145,6235,7139,138,-686,517,7
Summer,0,1,10.12,4,Blue,bot,MasH,FlyQuest,Ezreal,Kalista,Yuumi,Graves,Kai'Sa,Senna,1966,1,2,1,5,11,5,0,0,0,0,0,0,0,0,0.3357,0.4883,16066,490.3154,0.28819,320.4171,257.0295,16,0.4883,6,0.1831,7,38,1.1597,12502,8216,250.7426,0.216143,10775,272,238,34,27,5,8.3011,3170,3141,83,3380,3151,90,-210,-10,-7,4770,5484,125,5730,5488,139,-960,-4,-14
Summer,0,1,10.12,5,Blue,sup,IgNar,FlyQuest,Rakan,Kalista,Yuumi,Graves,Kai'Sa,Senna,1966,1,0,2,9,11,5,0,0,0,0,0,0,0,0,0.3357,0.4883,5359,163.5504,0.096129,301.4344,446.6429,50,1.5259,15,0.4578,15,82,2.5025,7314,3028,92.411,0.0796553,6670,35,35,0,0,0,1.0682,1963,2314,13,2452,2929,17,-489,-615,-4,2964,3238,19,3750,3937,23,-786,-699,-4
Spring,1,2,10.06,1,Blue,top,Solo,FlyQuest,Gangplank,Senna,Tahm Kench,Kalista,Zoe,Zilean,2137,1,1,3,3,10,4,0,0,0,0,0,0,0,0,0.2808,0.3931,14315,401.9186,0.242915,556.3407,399.2794,15,0.4212,4,0.1123,4,28,0.7861,13733,9098,255.4422,0.219425,13283,267,244,23,15,4,7.4965,2864,3898,63,3374,4417,69,-510,-519,-6,5614,7176,126,4858,6821,111,756,355,15
Spring,1,2,10.06,2,Blue,jng,Santorin,FlyQuest,Trundle,Senna,Tahm Kench,Kalista,Zoe,Zilean,2137,1,0,0,7,10,4,0,0,0,0,0,0,0,0,0.2808,0.3931,4400,123.5377,0.0746649,711.4927,779.9438,13,0.365,31,0.8704,12,69,1.9373,10921,6286,176.4904,0.151605,10300,170,41,129,69,6,4.773,3024,2535,46,2716,2642,41,308,-107,5,4313,3765,68,3910,3948,67,403,-183,1
Spring,1,2,10.06,3,Blue,mid,PowerOfEvil,FlyQuest,Orianna,Senna,Tahm Kench,Kalista,Zoe,Zilean,2137,1,5,1,3,10,4,1,0,0,0,0,0,0,1,0.2808,0.3931,19873,557.9691,0.337231,206.2798,202.6018,13,0.365,8,0.2246,2,28,0.7861,15631,10996,308.7319,0.265201,15200,351,300,51,29,17,9.8549,3559,4843,96,4023,4750,93,-464,93,3,5185,6868,138,5763,7111,148,-578,-243,-10
Spring,1,2,10.06,4,Blue,bot,WildTurtle,FlyQuest,Xayah,Senna,Tahm Kench,Kalista,Zoe,Zilean,2137,1,4,0,1,10,4,0,0,0,0,0,0,0,0,0.2808,0.3931,15805,443.7529,0.2682,257.4637,285.0632,11,0.3088,10,0.2808,5,35,0.9827,16047,11412,320.4118,0.275234,15175,346,321,25,22,2,9.7146,3617,3374,84,4607,3652,93,-990,-278,-9,6090,5991,139,6383,6118,141,-293,-127,-2
Spring,1,2,10.06,5,Blue,sup,IgNar,FlyQuest,Rakan,Senna,Tahm Kench,Kalista,Zoe,Zilean,2137,1,0,0,6,10,4,0,0,0,0,0,0,0,0,0.2808,0.3931,4537,127.3842,0.0769897,266.701,492.2695,54,1.5161,18,0.5054,18,96,2.6954,8306,3671,103.0697,0.0885357,7595,40,36,4,0,0,1.1231,2419,2391,13,2098,2258,13,321,133,0,3328,3274,19,3143,3157,22,185,117,-3
