split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.12,1,Blue,top,Hauntzer,Golden Guardians,Ornn,Yuumi,Kalista,Olaf,Thresh,Kindred,2020,0,0,3,2,8,20,0,0,0,0,0,0,0,0,0.2376,0.8317,11674,346.7525,0.168187,539.0792,924.4455,17,0.505,5,0.1485,6,30,0.8911,10537,6141,182.4059,0.178086,10150,250,249,1,1,0,7.4257,2873,3805,64,3042,4344,78,-169,-539,-14,4429,6213,107,5886,7176,129,-1457,-963,-22
Summer,0,1,10.12,2,Blue,jng,Closer,Golden Guardians,Nocturne,Yuumi,Kalista,Olaf,Thresh,Kindred,2020,0,2,6,3,8,20,0,0,0,0,0,0,0,0,0.2376,0.8317,7620,226.3366,0.109781,784.8416,542.6139,9,0.2673,9,0.2673,5,40,1.1881,10171,5775,171.5347,0.167472,10040,171,19,152,118,5,5.0792,3014,3230,59,3317,3044,64,-303,186,-5,4783,5396,89,4947,5129,97,-164,267,-8
Summer,0,1,10.12,3,Blue,mid,Damonte,Golden Guardians,Twisted Fate,Yuumi,Kalista,Olaf,Thresh,Kindred,2020,0,1,4,3,8,20,0,0,0,0,0,0,0,0,0.2376,0.8317,14806,439.7822,0.213309,522.7723,280.5446,11,0.3267,3,0.0891,6,21,0.6238,14125,9729,288.9802,0.282144,14150,305,275,30,17,1,9.0594,4054,4906,94,3043,4131,77,1011,775,17,5981,7575,143,5336,7143,124,645,432,19
Summer,0,1,10.12,4,Blue,bot,FBI,Golden Guardians,Ezreal,Yuumi,Kalista,Olaf,Thresh,Kindred,2020,0,3,3,3,8,20,0,0,0,0,0,0,0,1,0.2376,0.8317,26353,782.7624,0.379666,357.9505,343.6634,14,0.4158,6,0.1782,3,31,0.9208,14187,9791,290.8218,0.283942,13725,327,315,12,12,0,9.7129,3945,3186,86,3518,3108,86,427,78,0,6355,5685,134,6510,5437,137,-155,248,-3
Summer,0,1,10.12,5,Blue,sup,huhi,Golden Guardians,Sett,Yuumi,Kalista,Olaf,Thresh,Kindred,2020,0,2,4,4,8,20,0,0,0,0,0,0,0,0,0.2376,0.8317,8958,266.0792,0.129057,456.3267,853.396,59,1.7525,22,0.6535,17,110,3.2673,7443,3047,90.505,0.0883559,7375,48,44,4,0,0,1.4257,2480,2928,15,2173,2487,12,307,441,3,3958,4469,28,3550,4445,20,408,24,8
Spring,0,1,10.04,1,Blue,top,Hauntzer,Golden Guardians,Aatrox,Yuumi,Xayah,Sett,Qiyana,Gragas,1820,1,2,0,5,10,0,0,0,0,0,1,0,1,0,0.3297,0.3297,19435,640.7143,0.367906,976.022,868.6154,14,0.4615,10,0.3297,4,43,1.4176,13344,9356,308.4396,0.264641,11200,297,269,28,3,12,9.7912,3438,5155,79,3285,4569,81,153,586,-2,5292,7938,133,4745,6796,115,547,1142,18
Spring,0,1,10.04,2,Blue,jng,Closer,Golden Guardians,Sejuani,Yuumi,Xayah,Sett,Qiyana,Gragas,1820,1,4,0,4,10,0,2,0,0,0,1,1,0,0,0.3297,0.3297,5381,177.3956,0.101863,670.4176,834.7912,16,0.5275,12,0.3956,16,37,1.2198,9997,6009,198.0989,0.169965,8250,140,21,119,72,11,4.6154,3319,2989,50,2651,2621,50,668,368,0,5021,5121,84,4264,4736,94,757,385,-10
Spring,0,1,10.04,3,Blue,mid,Goldenglue,Golden Guardians,LeBlanc,Yuumi,Xayah,Sett,Qiyana,Gragas,1820,1,3,0,4,10,0,0,0,0,0,0,0,0,0,0.3297,0.3297,12316,406.022,0.233143,317.1429,173.6044,30,0.989,23,0.7582,7,74,2.4396,11720,7732,254.9011,0.218703,9925,253,241,12,12,0,8.3407,3016,4620,75,2939,4104,70,77,516,5,5203,7591,137,4888,7113,131,315,478,6
Spring,0,1,10.04,4,Blue,bot,FBI,Golden Guardians,Aphelios,Yuumi,Xayah,Sett,Qiyana,Gragas,1820,1,1,0,1,10,0,0,0,0,0,0,0,0,0,0.3297,0.3297,12984,428.044,0.245788,239.2418,340.2198,14,0.4615,13,0.4286,7,58,1.9121,13228,9240,304.6154,0.26136,11575,332,301,31,16,11,10.9451,3509,3333,97,3230,3444,89,279,-111,8,5474,5430,147,4818,5290,131,656,140,16
Spring,0,1,10.04,5,Blue,sup,Keith,Golden Guardians,Tahm Kench,Yuumi,Xayah,Sett,Qiyana,Gragas,1820,1,0,0,6,10,0,0,0,0,0,0,0,0,0,0.3297,0.3297,2710,89.3407,0.0513005,297.3297,419.9341,39,1.2857,11,0.3626,11,73,2.4066,7005,3017,99.4615,0.0853304,5725,33,33,0,0,0,1.0879,2143,2859,12,2014,2738,11,129,121,1,3248,3926,20,3066,3814,23,182,112,-3
