split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.12,6,Red,top,sOAZ,Immortals,Aatrox,Aphelios,Varus,Syndra,Volibear,Wukong,1918,0,0,3,0,1,13,0,0,0,0,0,0,0,1,0.0313,0.438,10694,334.536,0.240992,719.1241,617.3306,13,0.4067,4,0.1251,3,23,0.7195,9579,5391,168.6444,0.214466,9200,250,242,8,8,0,7.8206,2718,4130,64,4075,4783,87,-1357,-653,-23,4458,7106,122,5953,6935,125,-1495,171,-3
Summer,0,1,10.12,7,Red,jng,Potluck,Immortals,Lee Sin,Aphelios,Varus,Syndra,Volibear,Wukong,1918,0,0,3,1,1,13,0,0,0,0,0,0,0,0,0.0313,0.438,4331,135.4849,0.0976,696.3191,643.6079,16,0.5005,5,0.1564,8,30,0.9385,7984,3796,118.7487,0.151009,7825,142,26,116,82,13,4.4421,2920,2972,61,3484,3166,53,-564,-194,8,4301,4830,84,5050,5327,93,-749,-497,-9
Summer,0,1,10.12,8,Red,mid,Eika,Immortals,Azir,Aphelios,Varus,Syndra,Volibear,Wukong,1918,0,1,2,0,1,13,0,0,0,0,0,0,0,0,0.0313,0.438,14053,439.6142,0.316687,532.6486,299.3743,16,0.5005,7,0.219,8,28,0.8759,11771,7583,237.2158,0.301673,11500,289,268,21,13,4,9.0407,3434,4814,87,3773,5045,90,-339,-231,-3,5435,7884,139,5475,7606,143,-40,278,-4
Summer,0,1,10.12,9,Red,bot,Altec,Immortals,Kalista,Aphelios,Varus,Syndra,Volibear,Wukong,1918,0,0,3,0,1,13,0,0,0,0,0,0,0,0,0.0313,0.438,11704,366.1314,0.263752,369.6038,306.3504,12,0.3754,6,0.1877,3,28,0.8759,10907,6719,210.1877,0.2673,10975,273,257,16,16,0,8.5401,3212,3430,85,3353,3205,91,-141,225,-6,4729,5228,129,5023,5243,142,-294,-15,-13
Summer,0,1,10.12,10,Red,sup,Gate,Immortals,Leona,Aphelios,Varus,Syndra,Volibear,Wukong,1918,0,0,2,0,1,13,0,0,0,0,0,0,0,0,0.0313,0.438,3593,112.3983,0.080969,385.464,562.6486,45,1.4077,9,0.2815,12,66,2.0647,5836,1648,51.5537,0.0655522,5600,32,32,0,0,0,1.001,2005,2072,13,2087,2544,13,-82,-472,0,2844,2940,19,3205,3997,25,-361,-1057,-6
Summer,0,1,10.13,1,Blue,top,Allorim,Immortals,Urgot,Kalista,Twisted Fate,Varus,Leona,LeBlanc,2997,0,4,3,6,12,13,0,0,0,0,0,0,0,0,0.2402,0.5005,40836,817.5375,0.284953,892.1121,1637.8979,25,0.5005,24,0.4805,9,77,1.5415,20770,14381,287.9079,0.277137,19375,399,378,21,11,4,7.988,3006,4433,73,3104,4323,78,-98,110,-5,4985,7080,117,4432,6302,108,553,778,9
Summer,0,1,10.13,2,Blue,jng,Xmithie,Immortals,Lee Sin,Kalista,Twisted Fate,Varus,Leona,LeBlanc,2997,0,1,5,6,12,13,0,0,0,0,0,0,0,0,0.2402,0.5005,7236,144.8649,0.0504926,853.8338,749.6697,35,0.7007,18,0.3604,19,77,1.5415,13206,6817,136.4765,0.131366,13200,222,32,190,133,10,4.4444,2710,2506,55,2717,2718,48,-7,-212,7,4117,4298,91,4100,4180,75,17,118,16
Summer,0,1,10.13,3,Blue,mid,Insanity,Immortals,Azir,Kalista,Twisted Fate,Varus,Leona,LeBlanc,2997,0,3,2,7,12,13,0,0,0,0,0,0,0,0,0.2402,0.5005,43880,878.4785,0.306194,513.8138,358.3584,26,0.5205,11,0.2202,8,66,1.3213,19813,13424,268.7487,0.258694,19200,446,380,66,49,4,8.9289,3389,4897,95,3218,4742,85,171,155,10,5133,7524,141,5282,7361,142,-149,163,-1
Summer,0,1,10.13,4,Blue,bot,Apollo,Immortals,Ezreal,Kalista,Twisted Fate,Varus,Leona,LeBlanc,2997,0,4,2,5,12,13,0,0,0,0,0,0,0,1,0.2402,0.5005,44605,892.993,0.311253,387.7077,408.8288,22,0.4404,9,0.1802,7,58,1.1612,19266,12877,257.7978,0.248152,16725,426,379,47,35,10,8.5285,3347,3102,91,3272,2938,89,75,164,2,4999,5023,139,5150,5662,141,-151,-639,-2
Summer,0,1,10.13,5,Blue,sup,Hakuho,Immortals,Rakan,Kalista,Twisted Fate,Varus,Leona,LeBlanc,2997,0,0,1,9,12,13,0,0,0,0,0,0,0,0,0.2402,0.5005,6751,135.1552,0.0471083,408.0681,514.7748,86,1.7217,27,0.5405,26,169,3.3834,10782,4393,87.9479,0.0846513,8900,49,49,0,0,0,0.981,2070,2652,12,2052,2789,12,18,-137,0,3109,3616,19,3347,3686,18,-238,-70,1
Spring,0,1,10.04,6,Red,top,sOAZ,Immortals,Gangplank,Ornn,Taric,Senna,Azir,Lee Sin,1820,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0.3297,17619,580.8462,0.41332,643.5495,517.1868,13,0.4286,3,0.0989,5,23,0.7582,10630,6642,218.967,0.280983,10408,252,248,4,4,0,8.3077,3285,4569,81,3438,5155,79,-153,-586,2,4745,6796,115,5292,7938,133,-547,-1142,-18
Spring,0,1,10.04,7,Red,jng,Xmithie,Immortals,Jarvan IV,Ornn,Taric,Senna,Azir,Lee Sin,1820,0,0,4,0,0,10,0,0,0,0,0,0,0,1,0,0.3297,3740,123.2967,0.0877358,778.7143,628.6154,32,1.0549,16,0.5275,10,71,2.3407,7589,3601,118.7143,0.152329,7400,149,18,131,90,15,4.9121,2651,2621,50,3319,2989,50,-668,-368,0,4264,4736,94,5021,5121,84,-757,-385,10
Spring,0,1,10.04,8,Red,mid,Eika,Immortals,Syndra,Ornn,Taric,Senna,Azir,Lee Sin,1820,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0.3297,9947,327.9231,0.233344,328.5824,191.967,17,0.5604,8,0.2637,11,30,0.989,9885,5897,194.4066,0.249465,10655,257,245,12,12,0,8.4725,2939,4104,70,3016,4620,75,-77,-516,-5,4888,7113,131,5203,7591,137,-315,-478,-6
Spring,0,1,10.04,9,Red,bot,Apollo,Immortals,Miss Fortune,Ornn,Taric,Senna,Azir,Lee Sin,1820,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0.3297,8494,280.022,0.199259,186.6923,199.7143,12,0.3956,4,0.1319,5,28,0.9231,9514,5526,182.1758,0.233769,8675,251,238,13,9,0,8.2747,3230,3444,89,3509,3333,97,-279,111,-8,4818,5290,131,5474,5430,147,-656,-140,-16
Spring,0,1,10.04,10,Red,sup,Hakuho,Immortals,Nautilus,Ornn,Taric,Senna,Azir,Lee Sin,1820,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0.3297,2828,93.2308,0.0663414,460.9121,826.0549,39,1.2857,18,0.5934,10,62,2.044,5961,1973,65.044,0.0834539,5850,40,40,0,0,0,1.3187,2014,2738,11,2143,2859,12,-129,-121,-1,3066,3814,23,3248,3926,20,-182,-112,3
Summer,0,1,10.12,1,Blue,top,Allorim,Immortals,Malphite,Karma,Kalista,Syndra,Leona,Lulu,2092,1,2,1,9,16,5,0,0,0,0,0,0,0,1,0.4589,0.6023,12405,355.7839,0.202723,430.0096,1322.2945,15,0.4302,5,0.1434,5,29,0.8317,12905,8362,239.8279,0.211954,11725,286,284,2,1,0,8.2027,2974,4546,72,3759,4919,90,-785,-373,-18,5091,7608,125,5565,7966,145,-474,-358,-20
Summer,0,1,10.12,2,Blue,jng,Xmithie,Immortals,Trundle,Karma,Kalista,Syndra,Leona,Lulu,2092,1,4,2,9,16,5,0,0,0,0,0,0,0,0,0.4589,0.6023,7706,221.0134,0.125932,835.7266,739.6463,10,0.2868,17,0.4876,9,62,1.7782,11647,7104,203.7476,0.180066,9525,166,40,126,89,4,4.761,3248,3394,51,3112,3117,61,136,277,-10,4949,4977,78,4494,4836,90,455,141,-12
Summer,0,1,10.12,3,Blue,mid,Insanity,Immortals,Orianna,Karma,Kalista,Syndra,Leona,Lulu,2092,1,2,0,8,16,5,0,0,0,0,0,0,0,0,0.4589,0.6023,16212,464.9713,0.264937,292.9732,271.1472,21,0.6023,6,0.1721,10,40,1.1472,14816,10273,294.6367,0.260395,13350,336,291,45,21,8,9.6367,3208,4280,88,3902,4643,94,-694,-363,-6,5043,7307,144,5951,7172,151,-908,135,-7
Summer,0,1,10.12,4,Blue,bot,Apollo,Immortals,Ezreal,Karma,Kalista,Syndra,Leona,Lulu,2092,1,7,1,4,16,5,2,0,0,0,0,0,0,0,0.4589,0.6023,20525,588.6711,0.33542,319.3881,306.0516,17,0.4876,13,0.3728,10,48,1.3767,15018,10475,300.4302,0.265515,12600,304,284,20,12,0,8.7189,3203,3487,78,3335,3610,92,-132,-123,-14,5039,5901,136,5789,6431,154,-750,-530,-18
Summer,0,1,10.12,5,Blue,sup,Hakuho,Immortals,Rakan,Karma,Kalista,Syndra,Leona,Lulu,2092,1,1,1,12,16,5,0,0,0,0,0,0,0,0,0.4589,0.6023,4344,124.5889,0.0709897,313.2792,604.3021,50,1.434,15,0.4302,13,108,3.0975,7781,3238,92.8681,0.0820702,6925,36,36,0,0,0,1.0325,2350,2733,13,2081,2374,12,269,359,1,3476,4159,22,3179,3656,20,297,503,2
Spring,0,1,10.05,6,Red,top,sOAZ,Immortals,Aatrox,Senna,Pantheon,Aphelios,Karthus,Jarvan IV,1557,0,0,2,1,1,7,0,0,0,0,1,0,1,0,0.0385,0.3083,3952,152.2929,0.263959,552.2158,412.948,13,0.501,7,0.2697,5,22,0.8478,7469,4017,154.7977,0.19576,6925,176,164,12,5,4,6.7823,3015,4483,68,2951,3944,68,64,539,0,4731,7213,121,4436,6460,111,295,753,10
Spring,0,1,10.05,7,Red,jng,Xmithie,Immortals,Trundle,Senna,Pantheon,Aphelios,Karthus,Jarvan IV,1557,0,1,3,0,1,7,0,0,0,0,1,1,0,0,0.0385,0.3083,1773,68.3237,0.118421,807.5145,452.4085,9,0.3468,9,0.3468,9,31,1.1946,6552,3100,119.4605,0.151074,6275,106,9,97,78,0,4.0848,3049,2515,44,2736,2645,53,313,-130,-9,4271,4131,71,4228,4087,83,43,44,-12
Spring,0,1,10.05,8,Red,mid,Eika,Immortals,Cassiopeia,Senna,Pantheon,Aphelios,Karthus,Jarvan IV,1557,0,0,1,1,1,7,0,0,0,0,1,0,1,0,0.0385,0.3083,5123,197.4181,0.342172,501.8112,244.3931,14,0.5395,6,0.2312,6,26,1.0019,9363,5911,227.7842,0.288058,9035,268,248,20,13,0,10.3276,3357,4664,90,3340,4914,90,17,-250,0,5210,7458,148,5449,7663,151,-239,-205,-3
Spring,0,1,10.05,9,Red,bot,Apollo,Immortals,Miss Fortune,Senna,Pantheon,Aphelios,Karthus,Jarvan IV,1557,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0.0385,0.3083,2690,103.6609,0.179669,225.0096,226.8208,15,0.578,6,0.2312,8,33,1.2717,9246,5794,223.2755,0.282356,9350,262,250,12,4,0,10.0963,3399,3617,93,3401,3528,97,-2,89,-4,5126,6333,148,5579,6047,153,-453,286,-5
Spring,0,1,10.05,10,Red,sup,Hakuho,Immortals,Morgana,Senna,Pantheon,Aphelios,Karthus,Jarvan IV,1557,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0.0385,0.3083,1434,55.2601,0.0957788,256.0308,142.6204,28,1.079,14,0.5395,12,58,2.2351,5150,1698,65.4335,0.082752,5050,16,16,0,0,0,0.6166,1954,2327,3,2127,2619,17,-173,-292,-14,2730,3288,4,3116,3602,27,-386,-314,-23
Summer,0,1,10.14,6,Red,top,Allorim,Immortals,Ornn,Twisted Fate,Kalista,Syndra,Sylas,Gangplank,1953,1,2,3,6,16,11,0,0,0,0,0,0,0,1,0.4916,0.8295,8681,266.6974,0.135711,585.9601,889.9232,17,0.5223,10,0.3072,8,41,1.2596,12720,8460,259.9078,0.207373,11050,268,263,5,1,2,8.2335,3274,4646,73,4054,4478,72,-780,168,1,4853,7352,121,6820,7361,131,-1967,-9,-10
Summer,0,1,10.14,7,Red,jng,Xmithie,Immortals,Graves,Twisted Fate,Kalista,Syndra,Sylas,Gangplank,1953,1,4,1,7,16,11,0,0,0,0,0,0,0,0,0.4916,0.8295,12175,374.0399,0.190333,755.8218,635.8833,15,0.4608,18,0.553,14,65,1.9969,13031,8771,269.4624,0.214996,11450,244,59,185,90,41,7.4962,3724,3700,63,4280,3414,46,-556,286,17,5239,5802,107,6360,5674,83,-1121,128,24
Summer,0,1,10.14,8,Red,mid,Insanity,Immortals,Kog'Maw,Twisted Fate,Kalista,Syndra,Sylas,Gangplank,1953,1,7,4,3,16,11,2,0,0,0,0,0,0,0,0.4916,0.8295,24527,753.5177,0.383432,405.2227,222.6421,16,0.4916,7,0.2151,4,40,1.2289,15588,11328,348.0184,0.277672,14260,277,242,35,27,4,8.51,4234,4498,85,3838,4645,93,396,-147,-8,6456,7656,151,5847,7765,153,609,-109,-2
Summer,0,1,10.14,9,Red,bot,Apollo,Immortals,Ezreal,Twisted Fate,Kalista,Syndra,Sylas,Gangplank,1953,1,3,1,7,16,11,0,0,0,0,0,0,0,0,0.4916,0.8295,14896,457.6344,0.23287,303.0722,243.1644,19,0.5837,8,0.2458,8,46,1.4132,12702,8442,259.3548,0.206932,12000,238,228,10,4,2,7.3118,3415,3734,94,3391,3518,96,24,216,-2,5242,6549,150,5600,6341,158,-358,208,-8
Summer,0,1,10.14,10,Red,sup,Hakuho,Immortals,Braum,Twisted Fate,Kalista,Syndra,Sylas,Gangplank,1953,1,0,2,8,16,11,0,0,0,0,0,0,0,0,0.4916,0.8295,3688,113.3026,0.0576547,438.0645,524.0246,45,1.3825,15,0.4608,13,95,2.9186,8055,3795,116.5899,0.0930275,7025,36,36,0,0,0,1.106,2263,2940,15,2334,2603,13,-71,337,2,3134,3536,22,3338,3430,21,-204,106,1
Spring,0,1,10.06,1,Blue,top,sOAZ,Immortals,Ornn,Kalista,Rumble,Sett,Viktor,Sejuani,3406,0,1,3,11,15,13,0,0,0,0,0,0,0,0,0.2642,0.4932,22344,393.6113,0.185628,958.0622,1438.7317,34,0.5989,14,0.2466,12,75,1.3212,17762,10538,185.6371,0.193191,17025,374,358,16,0,4,6.5884,3359,4825,93,2645,4106,61,714,719,32,5130,7374,144,4110,6754,101,1020,620,43
Spring,0,1,10.06,2,Blue,jng,Xmithie,Immortals,Pantheon,Kalista,Rumble,Sett,Viktor,Sejuani,3406,0,2,6,4,15,13,0,0,0,0,0,0,0,1,0.2642,0.4932,7483,131.8203,0.0621667,957.1991,857.1227,21,0.3699,21,0.3699,20,83,1.4621,15706,8482,149.4187,0.1555,15075,261,38,223,145,16,4.5978,2903,2916,56,2924,3046,60,-21,-130,-4,4959,4899,89,4655,5559,107,304,-660,-18
Spring,0,1,10.06,3,Blue,mid,Eika,Immortals,Syndra,Kalista,Rumble,Sett,Viktor,Sejuani,3406,0,7,1,5,15,13,0,0,0,0,0,0,0,0,0.2642,0.4932,39165,689.9295,0.325372,293.1826,149.6124,28,0.4932,12,0.2114,9,96,1.6911,22580,15356,270.5109,0.281518,21025,487,444,43,26,5,8.579,3304,4431,94,3425,4727,97,-121,-296,-3,5029,6929,144,5067,6880,140,-38,49,4
