split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.12,6,Red,top,Impact,Team Liquid,Mordekaiser,Graves,Varus,Yuumi,Blitzcrank,Morgana,1696,0,1,4,0,3,9,0,0,0,0,0,0,0,0,0.1061,0.4245,9903,350.342,0.281727,580.0118,731.1439,13,0.4599,4,0.1415,5,23,0.8137,8135,4400,155.6604,0.199185,7470,182,178,4,1,0,6.4387,2634,3772,55,3928,4728,85,-1294,-956,-30,4132,6335,97,5448,120,-1316,-506,-23
Summer,0,1,10.12,7,Red,jng,Broxah,Team Liquid,Trundle,Graves,Varus,Yuumi,Blitzcrank,Morgana,1696,0,0,2,1,3,9,0,0,0,0,1,0,1,0,0.1061,0.4245,3919,138.6439,0.11149,910.2948,630.1415,7,0.2476,5,0.1769,7,33,1.1675,6735,3000,106.1321,0.135802,6345,120,9,111,88,0,4.2453,2791,2977,53,3145,3302,59,-354,-325,-6,3839,4116,70,5475,92,-1636,-1468,-22
Summer,0,1,10.12,8,Red,mid,Jensen,Team Liquid,Cassiopeia,Graves,Varus,Yuumi,Blitzcrank,Morgana,1696,0,0,1,1,3,9,0,0,0,0,0,0,0,0,0.1061,0.4245,3945,139.5637,0.11223,442.0401,255.1769,9,0.3184,5,0.1769,5,22,0.7783,9874,6139,217.1816,0.277916,8610,276,260,16,16,0,9.7642,3428,5087,96,3644,4189,74,-216,898,22,5107,7612,145,6616,129,-1509,311,16
Summer,0,1,10.12,9,Red,bot,Tactical,Team Liquid,Ezreal,Graves,Varus,Yuumi,Blitzcrank,Morgana,1696,0,1,1,1,3,9,0,0,0,0,1,1,0,0,0.1061,0.4245,14732,521.1792,0.419106,354.3396,282.0637,12,0.4245,3,0.1061,4,24,0.8491,9778,6043,213.7854,0.27357,8850,257,245,12,4,4,9.092,3862,3426,95,3421,3107,85,441,319,10,5493,5889,143,5339,141,154,334,2
Summer,0,1,10.12,10,Red,sup,CoreJJ,Team Liquid,Thresh,Graves,Varus,Yuumi,Blitzcrank,Morgana,1696,0,1,1,1,3,9,0,0,0,0,1,0,1,0,0.1061,0.4245,2652,93.8208,0.0754459,290.6958,228.5377,37,1.309,15,0.5307,12,80,2.8302,6243,2508,88.7264,0.113527,5300,35,35,0,0,0,1.2382,2179,2739,14,2119,2670,13,60,69,1,3122,3351,19,3383,21,-261,-1004,-2
Spring,0,1,10.04,1,Blue,top,Impact,Team Liquid,Sett,Xayah,Senna,Syndra,Aatrox,Irelia,1805,1,5,1,5,13,1,1,0,0,0,1,1,0,0,0.4321,0.4654,13167,437.6842,0.188052,737.1191,998.9917,13,0.4321,4,0.133,4,19,0.6316,13015,9057,301.0637,0.25131,10608,233,229,4,4,0,7.7452,3714,4857,90,2742,4021,64,972,836,26,5133,6658,123,4204,101,929,71,22
Spring,0,1,10.04,2,Blue,jng,Broxah,Team Liquid,Gragas,Xayah,Senna,Syndra,Aatrox,Irelia,1805,1,1,0,5,13,1,0,0,0,0,1,0,1,0,0.4321,0.4654,6879,228.6648,0.0982462,479.4349,329.0526,22,0.7313,11,0.3657,9,55,1.8283,9686,5728,190.4044,0.15894,8575,156,24,132,76,9,5.1856,3245,3218,62,2965,3030,63,280,188,-1,4745,5026,90,4223,92,522,371,-2
Spring,0,1,10.04,3,Blue,mid,Jensen,Team Liquid,Zoe,Xayah,Senna,Syndra,Aatrox,Irelia,1805,1,4,0,5,13,1,0,0,0,0,0,0,0,0,0.4321,0.4654,24980,830.3601,0.356765,159.5235,79.9446,12,0.3989,7,0.2327,5,30,0.9972,12839,8881,295.2133,0.246426,11225,282,258,24,16,8,9.374,3614,5232,102,3331,4888,91,283,344,11,5849,7886,156,4768,133,1081,767,23
Spring,0,1,10.04,4,Blue,bot,Tactical,Team Liquid,Miss Fortune,Xayah,Senna,Syndra,Aatrox,Irelia,1805,1,3,0,5,13,1,1,1,0,0,0,0,0,0,0.4321,0.4654,20046,666.349,0.286298,160.0222,347.3019,14,0.4654,11,0.3657,5,42,1.3961,13345,9387,312.0332,0.260466,12425,302,279,23,16,5,10.0388,3209,2979,85,3440,3303,97,-231,-324,-12,5783,5420,146,4910,143,873,99,3
Spring,0,1,10.04,5,Blue,sup,CoreJJ,Team Liquid,Braum,Xayah,Senna,Syndra,Aatrox,Irelia,1805,1,0,0,9,13,1,0,0,0,0,0,0,0,0,0.4321,0.4654,4946,164.41,0.070639,270.9806,310.6371,40,1.3296,9,0.2992,9,74,2.4598,6944,2986,99.2576,0.0828579,5975,30,30,0,0,0,0.9972,2053,2708,11,2061,2644,11,-8,64,0,3049,3980,18,2996,22,53,463,-4
