split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Spring,1,2,10.06,6,Red,top,Broken Blade,Team SoloMid,Aatrox,Ornn,Syndra,Sett,Azir,LeBlanc,2137,0,2,2,1,4,10,0,0,0,0,0,0,0,0,0.1123,0.3931,8514,239.0454,0.178967,778.8769,784.4361,18,0.5054,8,0.2246,9,46,1.2915,11646,7011,196.846,0.211315,11725,265,234,31,9,12,7.4403,3374,4417,69,2864,3898,63,510,519,6,4858,6821,111,5614,7176,126,-756,-355,-15
Spring,1,2,10.06,7,Red,jng,Dardoch,Team SoloMid,Jarvan IV,Ornn,Syndra,Sett,Azir,LeBlanc,2137,0,0,3,3,4,10,0,0,0,0,1,0,1,0,0.1123,0.3931,4188,117.5854,0.0880331,683.5283,673.7015,32,0.8985,16,0.4492,11,64,1.7969,8220,3585,100.6551,0.108052,8025,123,26,97,65,10,3.4534,2716,2642,41,3024,2535,46,-308,107,-5,3910,3948,67,4313,3765,68,-403,183,-1
Spring,1,2,10.06,8,Red,mid,Bjergsen,Team SoloMid,Viktor,Ornn,Syndra,Sett,Azir,LeBlanc,2137,0,2,1,1,4,10,0,0,0,0,1,1,0,0,0.1123,0.3931,16620,466.6355,0.349358,241.9373,319.9345,19,0.5335,4,0.1123,9,28,0.7861,14716,10081,283.0416,0.303847,13610,356,323,33,26,0,9.9953,4023,4750,93,3559,4843,96,464,-93,-3,5763,7111,148,5185,6868,138,578,243,10
Spring,1,2,10.06,9,Red,bot,Kobbe,Team SoloMid,Aphelios,Ornn,Syndra,Sett,Azir,LeBlanc,2137,0,0,3,0,4,10,0,0,0,0,0,0,0,0,0.1123,0.3931,14219,399.2232,0.298888,281.7782,509.6771,11,0.3088,10,0.2808,3,28,0.7861,14806,10171,285.5686,0.30656,13925,355,318,37,34,0,9.9672,4607,3652,93,3617,3374,84,990,278,9,6383,6118,141,6090,5991,139,293,127,2
Spring,1,2,10.06,10,Red,sup,Biofrost,Team SoloMid,Nautilus,Ornn,Syndra,Sett,Azir,LeBlanc,2137,0,0,1,0,4,10,0,0,0,0,0,0,0,0,0.1123,0.3931,4032,113.2054,0.084754,403.3505,612.9995,56,1.5723,14,0.3931,21,100,2.8077,6965,2330,65.4188,0.0702257,6825,46,44,2,2,0,1.2915,2098,2258,13,2419,2391,13,-321,-133,0,3143,3157,22,3328,3274,19,-185,-117,3
Spring,1,3,10.06,6,Red,top,Broken Blade,Team SoloMid,Irelia,Ornn,Syndra,Sett,LeBlanc,Kassadin,2656,0,5,5,3,10,20,1,1,0,0,0,0,0,0,0.2259,0.6777,17138,387.1536,0.177548,659.9548,951.8449,15,0.3389,4,0.0904,7,38,0.8584,16561,10867,245.4895,0.273018,15825,355,326,29,16,4,8.0196,3891,4235,79,3728,4267,75,163,-32,4,5587,6753,122,5391,6678,126,196,75,-4
Spring,1,3,10.06,7,Red,jng,Dardoch,Team SoloMid,Jarvan IV,Ornn,Syndra,Sett,LeBlanc,Kassadin,2656,0,0,6,9,10,20,0,0,0,0,0,0,0,0,0.2259,0.6777,9328,210.7229,0.0966372,791.1145,937.2741,19,0.4292,22,0.497,18,73,1.6491,10226,4532,102.3795,0.113862,10050,150,36,114,76,8,3.3886,2769,2734,42,3401,3275,55,-632,-541,-13,4296,4589,73,5408,4863,86,-1112,-274,-13
Spring,1,3,10.06,8,Red,mid,Bjergsen,Team SoloMid,Zilean,Ornn,Syndra,Sett,LeBlanc,Kassadin,2656,0,2,1,5,10,20,0,0,0,0,0,0,0,0,0.2259,0.6777,29054,656.3404,0.300997,409.1792,205.369,27,0.6099,4,0.0904,14,32,0.7229,14377,8683,196.1521,0.218149,13875,336,309,27,21,5,7.5904,3338,5281,93,3977,5044,94,-639,237,-1,5691,8217,150,5742,7700,146,-51,517,4
Spring,1,3,10.06,9,Red,bot,Kobbe,Team SoloMid,Aphelios,Ornn,Syndra,Sett,LeBlanc,Kassadin,2656,0,3,3,4,10,20,0,0,0,0,0,0,0,0,0.2259,0.6777,34709,784.0889,0.359582,321.0994,548.6973,14,0.3163,21,0.4744,2,62,1.4006,18960,13266,299.6837,0.333289,17200,427,369,58,42,4,9.6461,3612,3341,92,3081,2868,74,531,473,18,5961,5192,136,5841,5825,133,120,-633,3
Spring,1,3,10.06,10,Red,sup,Biofrost,Team SoloMid,Nautilus,Ornn,Syndra,Sett,LeBlanc,Kassadin,2656,0,0,5,3,10,20,0,0,0,0,0,0,0,1,0.2259,0.6777,6297,142.2515,0.0652363,475.256,825.9036,85,1.9202,10,0.2259,27,127,2.869,8149,2455,55.4593,0.0616815,8075,29,29,0,0,0,0.6551,2077,2695,12,2379,2810,11,-302,-115,1,3257,3679,20,3803,3478,17,-546,201,3
